Sequence_Name	Peptide_Length	GRAVY	Hydrophobic_Moment	pI	Molar_Mass	Net_Charge_at_pH7	Cysteine	Lysine_to_Arginine
HYL_AGda_O93453	33	-0.036363636	0.631331552	11.19870386	3185.77884	5.997694185	0	1
HYL_AGca_B6HY15	33	0.309090909	0.628856836	10.80180954	3141.72274	3.998435703	0	1
HYL_PHbi_P31107	33	0.196969697	0.677535348	10.50297379	3181.72634	3.001539465	0	1
HYL_PHbi_Q90ZK3	33	0.284848485	0.597271591	10.62727867	3153.67244	2.998730737	0	1
HYL_PHbi_Q90ZK5	29	0.451724138	0.518624201	10.33334629	2755.21004	1.999025771	0	1
HYL_PHbi_P81486	28	0.075	0.732197882	10.33334614	2998.53394	1.997697132	0	1
HYL_PHhy_Q0VZ37	28	0.360714286	0.52191843	10.50690111	2869.37504	1.997545682	0	1
HYL_AGca_B6HY16	27	0.511111111	0.615179159	11.65176868	2656.09564	1.997685954	0	0.5
HYL_PHbi_J9V799	31	0.448387097	0.64707683	10.33341987	3164.75694	2.088606223	0	1
HYL_PHhy_P84596	25	0.58	0.596218675	10.50690168	2410.84214	1.998874321	0	1
HYL_PHbi_P81490	24	-0.225	0.69040873	9.441554261	2665.08754	0.999320805	0	1
HYL_AGca_Q800S0	27	0.540740741	0.671093661	9.695020828	2687.10684	0.998132438	0	0.5
HYL_PHbi_P81485	28	0.657142857	0.70432484	11.27835379	2780.41094	3.996804164	0	1
HYL_AGca_B6HY14	27	0.051851852	0.687323442	11.10309629	2984.51214	3.17891738	0	1
HYL_AGca_Q800S2	23	0.930434783	0.418016457	6.099982329	2154.49114	-0.002015701	0	0
HYL_AGda_O93454	23	0.926086957	0.40360808	3.749972476	2127.42244	-1.001569216	0	0
HYL_LIin_Q571V3	24	-0.008333333	0.571452255	10.33334629	2529.91884	1.999025771	0	1
HYL_AGca_L0P329	18	1.75	0.401639075	9.700015683	1811.29674	0.997689266	0	1
HYL_AGda_L0P3K3	18	1.605555556	0.436255001	9.700015683	1827.29614	0.997689266	0	1
HYL_PHhy_L0P402	18	1.772222222	0.401639075	9.700015683	1797.26994	0.997689266	0	1
HYL_PHbi_Q800R3	19	1.415789474	0.444805872	9.703967806	1986.43114	1.179507447	0	1
HYL_PHhy_Q0VZ38	19	1.478947368	0.511470753	10.80539353	1941.42814	1.997394232	0	1
HYL_PHhy_P84567	19	1.105263158	0.497182701	7.810987454	2116.49354	0.270711572	0	0
HYL_PHhy_Q0VZ41	19	1.205263158	0.505120122	9.702001946	2013.41044	1.088598356	0	1
HYL_PHhy_P84572	19	1.110526316	0.526738385	9.703967806	2049.44644	1.179507447	0	1
HYL_LIin_Q571V5	22	0.663636364	0.482398246	10.80542349	2181.62434	2.088303323	0	1
HYL_LIfa_B5LUQ4	21	1.047619048	0.514890366	9.703967806	2194.69134	1.179507447	0	1
HYL_LIfa_B5LUQ3_1	16	0.99375	0.497956877	9.539380767	1648.02174	1.088749807	0	1
HYL_LIfa_B5LUQ3_2	16	0.93125	0.497956877	9.539380767	1682.03894	1.088749807	0	1
HYL_LIfa_B5LUQ6	13	2.184615385	0.282015603	6.099982329	1312.65834	-0.002015701	0	0
HYL_LIin_Q571V6	12	1.475	0.317818377	3.749972476	1141.37294	-1.001569216	0	0
HYL_HYsi_H6SWL6	16	0.3875	0.614799638	10.39775952	1775.08354	0.998424161	0	0
